sample_id,latency,faithfulness,answer_relevancy,context_precision,context_recall
1,22.818106174468994,1.0,0.0,0.9999999999,0.0
2,22.811553716659546,1.0,0.700893711753485,0.9999999999,1.0
3,25.088634490966797,0.75,0.0,0.0,0.0
4,23.756197929382324,1.0,0.7971732149540772,0.49999999995,1.0
5,22.937596559524536,1.0,0.7138694379343387,0.9999999999,1.0
6,24.575267791748047,1.0,0.0,0.49999999995,1.0
7,23.96162509918213,1.0,0.0,0.0,0.0
9,22.52761721611023,1.0,0.0,0.0,0.0
10,28.979816675186157,0.2857142857142857,0.864949169088021,0.99999999995,1.0
11,21.256362199783325,1.0,0.8576437629834619,0.9999999999,1.0
12,23.595228672027588,0.5,0.0,0.0,0.5
13,24.881288051605225,0.5,0.0,0.0,1.0
14,22.016147136688232,1.0,0.8469974413122127,0.9999999999,1.0
15,23.96135711669922,1.0,0.0,0.9999999999,0.5
16,23.41248059272766,0.3333333333333333,0.0,0.0,0.0
17,23.998499870300293,1.0,0.8971484137864235,0.8333333332916666,1.0
18,25.190273761749268,1.0,0.784437342383829,0.99999999995,1.0
19,29.286189317703247,1.0,0.0,0.0,0.0
20,22.015631198883057,0.5,0.9240488128921993,0.9999999999,1.0
21,23.189899444580078,1.0,0.9259761117854136,0.9999999999,1.0
22,23.794905185699463,1.0,0.6514008176362198,0.9999999999,1.0
23,35.959601402282715,0.45454545454545453,0.0,0.9999999999,0.0
24,26.31684970855713,1.0,0.0,0.3333333333,0.0
25,22.6292667388916,1.0,0.9262941110514157,0.49999999995,1.0
26,24.407260179519653,0.6666666666666666,0.6075243838819391,0.99999999995,1.0
27,23.824082851409912,1.0,0.9315248099650608,0.9999999999,1.0
28,23.14189386367798,1.0,0.8140884265829132,0.9999999999,1.0
29,25.087663412094116,0.6666666666666666,0.6158213646363407,0.99999999995,1.0
30,28.569390773773193,1.0,0.6198412728326653,0.9999999999,0.0
31,21.912662267684937,1.0,0.0,0.9999999999,1.0
32,29.28737449645996,1.0,0.7993468806788463,0.9999999999666667,1.0
33,26.72602415084839,1.0,0.0,0.9999999999,1.0
34,25.575979471206665,1.0,0.0,0.0,0.0
35,22.270647048950195,1.0,0.8490156136350057,0.9999999999,1.0
36,22.73225736618042,1.0,0.9311197580659215,0.9999999999,1.0
37,25.426645755767822,1.0,0.9301303589957405,0.99999999995,1.0
38,23.28920292854309,1.0,0.8598220673379072,0.9999999999,1.0
39,23.246140956878662,0.5,0.830453767109574,0.9999999999,1.0
40,32.35957217216492,1.0,0.8436361294702864,0.0,0.0
41,29.08085036277771,0.3333333333333333,0.8962168583729839,0.0,1.0
42,-1.0,0.0,,0.0,0.0
44,-1.0,0.0,,0.0,
45,24.056257486343384,1.0,0.8257572468082301,0.9999999999,1.0
46,29.399973392486572,1.0,0.0,0.9999999999,1.0
47,25.689495086669922,1.0,0.7438784574624538,0.9999999999,1.0
48,28.775548458099365,1.0,0.0,0.999999999975,1.0
49,23.550911903381348,1.0,0.6826849283037518,0.9999999999,1.0
